report_id:Key,report_category_id:Normal,token:String,name:String,description:String,header:String,footer:String,is_active:Normal
1,1,RequirementSummary,Requirements Summary,This report displays all of the requirements defined for the current project in the order they appear in the requirements list. The requirement's details and coverage status are displayed in a summary list form.,<p>This report displays all of the requirements defined for the current project in the order they appear in the requirements list. The requirement's details and coverage status are displayed in a summary list form.</p>,NULL,1
2,1,RequirementDetailed,Requirements Detailed,"This report displays all of the requirements defined for the current project in the order they appear in the requirements list. The requirement's details and coverage status are displayed, along with sub-tables containing the list of covering test cases, linked incidents/requirements, attached documents, associated tasks, linked artifacts and the change history","<p>This report displays all of the requirements defined for the current project in the order they appear in the requirements list. The requirement's details and coverage status are displayed, along with sub-tables containing the list of covering test cases, linked incidents/requirements, attached documents, associated tasks, linked artifacts and the change history</p>",NULL,1
3,1,RequirementPlan,Requirements Plan,"This report displays a complete work breakdown structure of the project, including all requirements and tasks organized by schedule.","<p>This report displays a complete work breakdown structure of the project, including all requirements and tasks organized by schedule.</p>",NULL,1
4,2,TestCaseSummary,Test Case Summary,This report displays all of the test cases defined for the current project in the order they appear in the test case list. The test case's details and execution status are displayed in a summary list form.,<p>This report displays all of the test cases defined for the current project in the order they appear in the test case list. The test case's details and execution status are displayed in a summary list form.</p>,NULL,1
5,2,TestCaseDetailed,Test Case Detailed,"This report displays all of the test cases defined for the current project in the order they appear in the test case list. The test case's details and execution status are displayed, along with sub-tables containing the list of test steps, test runs, attached documents, the change history, and a list of any associated open incidents","<p>This report displays all of the test cases defined for the current project in the order they appear in the test case list. The test case's details and execution status are displayed, along with sub-tables containing the list of test steps, test runs, attached documents, the change history, and a list of any associated open incidents</p>",NULL,1
6,2,TestSetSummary,Test Set Summary,This report displays all of the test sets defined for the current project in the order they appear in the test set list. The test set's details and execution status are displayed in a summary list form.,<p>This report displays all of the test sets defined for the current project in the order they appear in the test set list. The test set's details and execution status are displayed in a summary list form.</p>,NULL,1
7,2,TestSetDetailed,Test Set Detailed,"This report displays all of the test sets defined for the current project in the order they appear in the test set list. The test set's details and execution status are displayed, along with sub-tables containing the list of test cases, test runs, attached documents, and the change history","<p>This report displays all of the test sets defined for the current project in the order they appear in the test set list. The test set's details and execution status are displayed, along with sub-tables containing the list of test cases, test runs, attached documents, and the change history</p>",NULL,1
8,2,TestPrintable,Printable Test Scripts,"This report is useful when you want to be able to conduct the testing activities offline on paper, or when testers need paper copies of the test script in addition to using the online test execution wizard. It displays all of the test cases defined for the current project in the order they appear in the test case list together with their detailed test steps and a list of any attached documents","<p>This report is useful when you want to be able to conduct the testing activities offline on paper, or when testers need paper copies of the test script in addition to using the online test execution wizard. It displays all of the test cases defined for the current project in the order they appear in the test case list together with their detailed test steps and a list of any attached documents</p>",NULL,1
9,2,TestRunSummary,Test Run Summary,This report displays all of the test runs defined for the current project in date order (most recent first). The test run's details and execution status are displayed in a summary list form.,<p>This report displays all of the test runs defined for the current project in date order (most recent first). The test run's details and execution status are displayed in a summary list form.</p>,NULL,1
10,2,TestRunDetailed,Test Run Detailed,"This report displays all of the test runs defined for the current project in date order (most recent first). The test run's details and execution status are displayed, along with sub-tables containing the list of test run steps, and a list of any associated open incidents","<p>This report displays all of the test runs defined for the current project in date order (most recent first). The test run's details and execution status are displayed, along with sub-tables containing the list of test run steps, and a list of any associated open incidents</p>",NULL,1
11,3,IncidentSummary,Incident Summary,This report displays all of the incidents tracked for the current project. The incident's details are displayed  in a summary list form.,<p>This report displays all of the incidents tracked for the current project. The incident's details are displayed  in a summary list form.</p>,NULL,1
12,3,IncidentDetailed,Incident Detailed,"This report displays all of the incidents tracked for the current project. The incident's details are displayed, along with tables containing the list of resolutions as well as a tabular list of attached documents, linked requirements/incidents and the change history","<p>This report displays all of the incidents tracked for the current project. The incident's details are displayed, along with tables containing the list of resolutions as well as a tabular list of attached documents, linked requirements/incidents and the change history</p>",NULL,1
13,4,TaskSummary,Task Summary,This report displays all of the tasks tracked for the current project. The task's details are displayed in a summary list form.,<p>This report displays all of the tasks tracked for the current project. The task's details are displayed in a summary list form.</p>,NULL,1
14,4,TaskDetailed,Task Detailed,"This report displays all of the tasks tracked for the current project. The task's details are displayed, along with a tabular list of attached documents and the change history","<p>This report displays all of the tasks tracked for the current project. The task's details are displayed, along with a tabular list of attached documents and the change history</p>",NULL,1
15,5,ReleaseSummary,Release Summary,This report displays all of the releases and iterations defined for the current project in the order they appear in the release/iteration hierarchy. The release's details are displayed in a summary list form.,<p>This report displays all of the releases and iterations defined for the current project in the order they appear in the release/iteration hierarchy. The release's details are displayed in a summary list form.</p>,NULL,1
16,5,ReleaseDetailed,Release Detailed,"This report displays all of the releases and iterations defined for the current project in the order they appear in the release/iteration hierarchy. The release's details are displayed, along with sub-tables containing the list of mapped test cases, test runs, associated incidents, attached documents, scheduled tasks and the change history","<p>This report displays all of the releases and iterations defined for the current project in the order they appear in the release/iteration hierarchy. The release's details are displayed, along with sub-tables containing the list of mapped test cases, test runs, associated incidents, attached documents, scheduled tasks and the change history</p>",NULL,1
17,5,ReleasePlan,Release Plan,"This report displays a complete work breakdown structure of the project, including all releases, iterations tasks and incidents organized by schedule.","<p>This report displays a complete work breakdown structure of the project, including all releases, iterations tasks and incidents organized by schedule.</p>",NULL,1
18,1,RequirementTrace,Requirements Traceability,"This report displays a matrix of the requirements in the system with their list of covering test cases and associated, mapped requirements","<p>This report displays a matrix of the requirements in the system with their list of covering test cases and associated, mapped requirements</p>",NULL,1
19,2,TestCaseTrace,Test Case Traceability,"This report displays a matrix of the test cases in the system with the list of mapped releases, incidents and test sets","<p>This report displays a matrix of the test cases in the system with the list of mapped releases, incidents and test sets</p>",NULL,1
20,6,RiskSummary,Risk Summary,This report displays all of the risks tracked for the current project. The risks are displayed in a summary table form.,<p>This report displays all of the risks tracked for the current project. The risks are displayed in a summary table form.</p>,NULL,1
21,6,RiskDetailed,Risk Detailed,"This report displays all of the risks tracked for the current project. The risks are displayed, along with a tabular list of mitigations, tasks, comments, attached documents, and change history","<p>This report displays all of the risks tracked for the current project. The risks are displayed, along with a tabular list of mitigations, tasks, comments, attached documents, and change history</p>",NULL,1
22,7,HistoryList,Project Audit Trail,This report displays all of the history tracked for the current project.,<p>This report displays all of the history tracked for the current project.</p>,NULL,1
23,8,AllHistoryList,Audit Trail,This report displays all of the history tracked for the current project.,<p>This report displays all of the history tracked for the current project.</p>,NULL,1
24,11,AdminAuditTrail,Admin Audit Trail,This report displays admin history tracked for project.,<p>This report displays admin history tracked for the current project.</p>,NULL,1
25,12,UserAuditTrail,User Audit Trail,This report displays user history tracked for the current project.,  <p>This report displays user history tracked for the current project.</p>,NULL,1
26,11,NULL,Test Report,Test Report1,<p>Test12</p>,<p>Test1</p>,1
28,13,SystemUsageReport,System Usage Report,This report displays system usage tracked.,<p>This report displays system usage tracked.</p>,NULL,1
